dataset,source_record_id,ispb,cnpj,institution_name,short_name,institution_type,spi_participation_type,pix_participation_type,pix_participation_mode,is_authorized_by_bcb,catalog_snapshot_date,source_registry_id,source_file_url,source_publication_date,schema_version,adhesion_status,raw_source_json
pix_in_adhesion,pix_in_adhesion:1,52076716,52076716000176,AWX BRASIL IP LTDA.,AWX BRASIL IP LTDA.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""1"",""nome_reduzido"":""AWX BRASIL IP LTDA."",""ispb"":""52076716"",""cnpj"":""52.076.716/0001-76"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:2,19307785,19307785000178,BRAZA BANK S.A. BCO DE CÂMBIO,BRAZA BANK S.A. BCO DE CÂMBIO,Banco de Câmbio,Direta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""2"",""nome_reduzido"":""BRAZA BANK S.A. BCO DE CÂMBIO"",""ispb"":""19307785"",""cnpj"":""19.307.785/0001-78"",""tipo_instituicao"":""Banco de Câmbio"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:3,08422119,08422119000164,BULLLA IP S.A.,BULLLA IP S.A.,Instituição de Pagamento,Indireta,Obrigatória,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Aguardando Início da Etapa de Operação Restrita,"{""row_number"":""3"",""nome_reduzido"":""BULLLA IP S.A."",""ispb"":""08422119"",""cnpj"":""08.422.119/0001-64"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Obrigatória"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Aguardando Início da Etapa de Operação Restrita""}"
pix_in_adhesion,pix_in_adhesion:4,39696395,39696395000144,CACTVS IP S.A.,CACTVS IP S.A.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Aguardando Início da Etapa de Operação Restrita,"{""row_number"":""4"",""nome_reduzido"":""CACTVS IP S.A."",""ispb"":""39696395"",""cnpj"":""39.696.395/0001-44"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Aguardando Início da Etapa de Operação Restrita""}"
pix_in_adhesion,pix_in_adhesion:5,60849822,60849822000173,COOP CREDI COOPERALFA,COOP CREDI COOPERALFA,Cooperativa de Crédito,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Ativo em operação restrita,"{""row_number"":""5"",""nome_reduzido"":""COOP CREDI COOPERALFA"",""ispb"":""60849822"",""cnpj"":""60.849.822/0001-73"",""tipo_instituicao"":""Cooperativa de Crédito"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Ativo em operação restrita""}"
pix_in_adhesion,pix_in_adhesion:6,32223020,32223020000118,FLASH IP LTDA.,FLASH IP LTDA.,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""6"",""nome_reduzido"":""FLASH IP LTDA."",""ispb"":""32223020"",""cnpj"":""32.223.020/0001-18"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:7,10440482,10440482000154,GETNET IP,GETNET IP,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""7"",""nome_reduzido"":""GETNET IP"",""ispb"":""10440482"",""cnpj"":""10.440.482/0001-54"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:8,61637240,61637240000196,GO SCD S.A.,GO SCD S.A.,Sociedade de Crédito Direto,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""8"",""nome_reduzido"":""GO SCD S.A."",""ispb"":""61637240"",""cnpj"":""61.637.240/0001-96"",""tipo_instituicao"":""Sociedade de Crédito Direto"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:9,37526080,37526080000123,LEND SCD S.A.,LEND SCD S.A.,Sociedade de Crédito Direto,Direta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""9"",""nome_reduzido"":""LEND SCD S.A."",""ispb"":""37526080"",""cnpj"":""37.526.080/0001-23"",""tipo_instituicao"":""Sociedade de Crédito Direto"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:10,46505612,46505612000137,MONERY IP S.A.,MONERY IP S.A.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-08-04,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260804.csv,2026-08-04,1.0.0,Etapa Homologatória,"{""row_number"":""10"",""nome_reduzido"":""MONERY IP S.A."",""ispb"":""46505612"",""cnpj"":""46.505.612/0001-37"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
